component_number	matrix	partition_name	edges	nodes_in_component	component_density	BUSCO_ID	BUSCO_description	SwissProt_accession	SwissProt_description	GO_annotations	ribo_found
1	Hejnol2009	Tribe1932_0	8	87	0.06041165463779738	EOG091G0FQ2	ribose 5-phosphate isomerase A	A2TLM1.1	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0004751; GO:0006014; GO:0009052	False
1	Whelan2017_strict	Subset5_01	54	87	0.06041165463779738	EOG091G00UD	P-type ATPase	P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
1	Nosenko2013_ribo_14615	KOG0875	5	87	0.06041165463779738			O44248.3	RecName: Full=60S ribosomal protein L5	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Borowiec2015_Total1080	OG1142.fasta.aln_gene134	2	87	0.06041165463779738			A5PKR8.1	RecName: Full=Elongation factor G, mitochondrial; Short=EF-Gmt; AltName: Full=Elongation factor G 1, mitochondrial; Short=mEF-G 1; AltName: Full=Elongation factor G1; Flags: Precursor	GO:0005739; GO:0005525; GO:0003924; GO:0003746; GO:0070125	False
1	Ryan2013_est	gene71	5	87	0.06041165463779738			Q5R947.2	RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP4; Short=U3 snoRNP protein IMP4	GO:0001650; GO:0034457; GO:0006364	False
1	Hejnol2009	Tribe2313_0	2	87	0.06041165463779738	EOG091G06U0	ubiquitin specific peptidase 39	Q3TIX9.2	RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39	GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245	False
1	Nosenko2013_ribo_14615	KOG1475_01	4	87	0.06041165463779738	EOG091G0A2I	Ribosomal protein L4/L1e	P02385.2	RecName: Full=60S ribosomal protein L4-B; AltName: Full=L1B	GO:0005840; GO:0003735; GO:0006412	True
1	Simion2017	V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05	3	87	0.06041165463779738			P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
1	Nosenko2013_ribo_14615	KOG2916	5	87	0.06041165463779738			P05198.3	RecName: Full=Eukaryotic translation initiation factor 2 subunit 1; AltName: Full=Eukaryotic translation initiation factor 2 subunit alpha; Short=eIF-2-alpha; Short=eIF-2A; Short=eIF-2alpha	GO:0010494; GO:0005829; GO:0033290; GO:0005850; GO:0005851; GO:0070062; GO:0097451; GO:0016020; GO:0043614; GO:0005634; GO:0005844; GO:0045202; GO:0044207; GO:0043022; GO:0003723; GO:0003743; GO:0007568; GO:0034198; GO:0034605; GO:0034599; GO:0034644; GO:1905098; GO:0032057; GO:0036499; GO:1901216; GO:2000676; GO:0046777; GO:0034976; GO:1990737; GO:0034063; GO:0006413; GO:0055085	False
1	Moroz2014_3d	0518	3	87	0.06041165463779738			O00232.3	RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55	GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0031595; GO:0005654; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0034774; GO:0043312; GO:0043687; GO:0043161; GO:0016579	False
1	Whelan2017_full	Subset2_11	2	87	0.06041165463779738			A7RR04.1	RecName: Full=Elongation factor G, mitochondrial; Short=EF-Gmt; AltName: Full=Elongation factor G 1, mitochondrial; Short=mEF-G 1; AltName: Full=Elongation factor G1; Flags: Precursor	GO:0005739; GO:0005525; GO:0003924; GO:0003746; GO:0070125	False
1	Dunn2008	Tribe1292	7	87	0.06041165463779738	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
1	Chang2015	rpl5	6	87	0.06041165463779738			O44248.3	RecName: Full=60S ribosomal protein L5	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Borowiec2015_Best108	OG52.fasta.aln_gene65	3	87	0.06041165463779738			P37879.1	RecName: Full=Lysine--tRNA ligase; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS	GO:0017101; GO:0005829; GO:0005576; GO:0005634; GO:0005886; GO:0003877; GO:0005524; GO:0004824; GO:0003676; GO:0015966; GO:0006430	False
1	Simion2017	V2META10402-2-2-42-Calc_Hmm10-BMGE05	5	87	0.06041165463779738	EOG091G00UD	P-type ATPase	Q9HD20.2	RecName: Full=Manganese-transporting ATPase 13A1	GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220	False
1	Simion2017	V2META13838-42-Calc_Hmm10-BMGE05	5	87	0.06041165463779738			A9UNU6.1	RecName: Full=Bystin	GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364	False
1	Chang2015	tribe1381	4	87	0.06041165463779738			P52432.3	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPC40	GO:0005654; GO:0005634; GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
1	Simion2017	V2META13679-42-Calc_Hmm10-BMGE05	3	87	0.06041165463779738	EOG091G10O5	NMD3 ribosome export adaptor	Q96D46.1	RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3	GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055	False
1	Whelan2015_D20	Gene_0557	3	87	0.06041165463779738			Q9EPE9.2	RecName: Full=Manganese-transporting ATPase 13A1; Short=CATP	GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874	False
1	Philippe2009	rpl3	8	87	0.06041165463779738			O59953.1	RecName: Full=60S ribosomal protein L5; AltName: Full=CPR4	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Whelan2017_full	Subset31_04	3	87	0.06041165463779738			A0A120HYZ1.1	RecName: Full=Lysine--tRNA ligase cla4; AltName: Full=Cladosporin biosynthesis cluster protein 4; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS	GO:0005737; GO:0005524; GO:0004824; GO:0003676; GO:0006430	False
1	Simion2017	V2META13215-42-Calc_Hmm10-BMGE05	2	87	0.06041165463779738			B5FZ19.2	RecName: Full=Eukaryotic translation initiation factor 3 subunit I; Short=eIF3i; AltName: Full=Eukaryotic translation initiation factor 3 subunit 2; AltName: Full=eIF-3-beta; AltName: Full=eIF3 p36	GO:0016282; GO:0033290; GO:0005852; GO:0003743; GO:0001732; GO:0006413	False
1	Nosenko2013_ribo_11057	KOG1475_01	4	87	0.06041165463779738	EOG091G0A2I	Ribosomal protein L4/L1e	P02385.2	RecName: Full=60S ribosomal protein L4-B; AltName: Full=L1B	GO:0005840; GO:0003735; GO:0006412	True
1	Philippe2009	sadhchydrolase-E1	7	87	0.06041165463779738			P17255.3	RecName: Full=V-type proton ATPase catalytic subunit A; Short=V-ATPase subunit A; AltName: Full=Vacuolar proton pump subunit A; Contains: RecName: Full=Endonuclease PI-SceI; AltName: Full=Sce VMA intein; AltName: Full=VMA1-derived endonuclease; Short=VDE	GO:0012505; GO:0000329; GO:0005886; GO:0005774; GO:0000221; GO:0005524; GO:0003677; GO:0004519; GO:0003729; GO:0046961; GO:0046034; GO:0044267; GO:0016539; GO:0006314; GO:0007035	False
1	Philippe2009	rps9	5	87	0.06041165463779738			P05198.3	RecName: Full=Eukaryotic translation initiation factor 2 subunit 1; AltName: Full=Eukaryotic translation initiation factor 2 subunit alpha; Short=eIF-2-alpha; Short=eIF-2A; Short=eIF-2alpha	GO:0010494; GO:0005829; GO:0033290; GO:0005850; GO:0005851; GO:0070062; GO:0097451; GO:0016020; GO:0043614; GO:0005634; GO:0005844; GO:0045202; GO:0044207; GO:0043022; GO:0003723; GO:0003743; GO:0007568; GO:0034198; GO:0034605; GO:0034599; GO:0034644; GO:1905098; GO:0032057; GO:0036499; GO:1901216; GO:2000676; GO:0046777; GO:0034976; GO:1990737; GO:0034063; GO:0006413; GO:0055085	False
1	Nosenko2013_ribo_11057	KOG0875	5	87	0.06041165463779738			A2WXX3.2	RecName: Full=60S ribosomal protein L5-1	GO:0005634; GO:0005840; GO:0008097; GO:0003735; GO:0006412	True
1	Simion2017	V2META11108-42-Calc_Hmm10-BMGE05	4	87	0.06041165463779738			Q32L22.1	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1	GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
1	Whelan2017_full	Subset4_21	3	87	0.06041165463779738			Q91WF7.1	RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3	GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033	False
1	Philippe2009	rpl26	3	87	0.06041165463779738			O02056.3	RecName: Full=60S ribosomal protein L4	GO:0022625; GO:0003735; GO:0008340; GO:0006412	True
1	Whelan2017_full	Subset2_08	2	87	0.06041165463779738	EOG091G06U0	ubiquitin specific peptidase 39	Q3TIX9.2	RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39	GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245	False
1	Chang2015	vata	2	87	0.06041165463779738			P17255.3	RecName: Full=V-type proton ATPase catalytic subunit A; Short=V-ATPase subunit A; AltName: Full=Vacuolar proton pump subunit A; Contains: RecName: Full=Endonuclease PI-SceI; AltName: Full=Sce VMA intein; AltName: Full=VMA1-derived endonuclease; Short=VDE	GO:0012505; GO:0000329; GO:0005886; GO:0005774; GO:0000221; GO:0005524; GO:0003677; GO:0004519; GO:0003729; GO:0046961; GO:0046034; GO:0044267; GO:0016539; GO:0006314; GO:0007035	False
1	Whelan2017_full	Subset24_03	6	87	0.06041165463779738			Q95276.3	RecName: Full=60S ribosomal protein L5	GO:0005737; GO:0022625; GO:0005730; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Philippe2009	rpl27	3	87	0.06041165463779738			P35679.2	RecName: Full=60S ribosomal protein L4-A; AltName: Full=L2	GO:0022625; GO:0003735; GO:0002181	True
1	Borowiec2015_Total1080	OG274.fasta.aln_gene322	6	87	0.06041165463779738			P05198.3	RecName: Full=Eukaryotic translation initiation factor 2 subunit 1; AltName: Full=Eukaryotic translation initiation factor 2 subunit alpha; Short=eIF-2-alpha; Short=eIF-2A; Short=eIF-2alpha	GO:0010494; GO:0005829; GO:0033290; GO:0005850; GO:0005851; GO:0070062; GO:0097451; GO:0016020; GO:0043614; GO:0005634; GO:0005844; GO:0045202; GO:0044207; GO:0043022; GO:0003723; GO:0003743; GO:0007568; GO:0034198; GO:0034605; GO:0034599; GO:0034644; GO:1905098; GO:0032057; GO:0036499; GO:1901216; GO:2000676; GO:0046777; GO:0034976; GO:1990737; GO:0034063; GO:0006413; GO:0055085	False
1	Whelan2017_full	Subset37_02	6	87	0.06041165463779738	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
1	Moroz2014_3d	1019	3	87	0.06041165463779738			Q91WF7.1	RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3	GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033	False
1	Philippe2009	rrp46-B	8	87	0.06041165463779738			Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
1	Whelan2015_D1	Gene_0557	3	87	0.06041165463779738			Q9HD20.2	RecName: Full=Manganese-transporting ATPase 13A1	GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220	False
1	Chang2015	vacaatpasepl21	7	87	0.06041165463779738	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
1	Borowiec2015_Best108	OG567.fasta.aln_gene72	8	87	0.06041165463779738	EOG091G0FQ2	ribose 5-phosphate isomerase A	P47968.2	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0030246; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052; GO:0019693	False
1	Whelan2017_full	Subset29_02	3	87	0.06041165463779738	EOG091G10O5	NMD3 ribosome export adaptor	Q6P2Z6.1	RecName: Full=60S ribosomal export protein NMD3	GO:0005737; GO:0005730; GO:0005654; GO:0005634; GO:0043023; GO:0000055	False
1	Simion2017	V2META13689-42-Calc_Hmm10-BMGE05	3	87	0.06041165463779738	EOG091G0530	Aminoacyl-tRNA synthetase, class II (D/K/N)	P14868.2	RecName: Full=Aspartate--tRNA ligase, cytoplasmic; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; AltName: Full=Cell proliferation-inducing gene 40 protein	GO:0017101; GO:0005737; GO:0005829; GO:0070062; GO:0016020; GO:0045202; GO:0004046; GO:0004815; GO:0005524; GO:0003723; GO:0006422; GO:0065003; GO:0006412; GO:0006418	False
1	Hejnol2009	Tribe1717_0	3	87	0.06041165463779738	EOG091G10O5	NMD3 ribosome export adaptor	Q96D46.1	RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3	GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055	False
1	Whelan2017_full	Subset4_12	5	87	0.06041165463779738	EOG091G00UD	P-type ATPase	P90747.3	RecName: Full=Probable manganese-transporting ATPase catp-8; AltName: Full=Cation transporting ATPase 8	GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874	False
1	Simion2017	V2META12968-42-Calc_Hmm10-BMGE05	3	87	0.06041165463779738			O60508.1	RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17	GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380	False
1	Borowiec2015_Total1080	OG174.fasta.aln_gene214	3	87	0.06041165463779738			O60508.1	RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17	GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380	False
1	Whelan2017_full	Subset2_20	4	87	0.06041165463779738			Q32L22.1	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1	GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
1	Whelan2017_full	Subset2_23	3	87	0.06041165463779738			P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
1	Whelan2017_full	Subset29_05	5	87	0.06041165463779738			A9UNU6.1	RecName: Full=Bystin	GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364	False
1	Whelan2017_full	Subset30_02	8	87	0.06041165463779738	EOG091G0FQ2	ribose 5-phosphate isomerase A	A2TLM1.1	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0004751; GO:0006014; GO:0009052	False
1	Whelan2017_full	Subset29_01	3	87	0.06041165463779738			O60508.1	RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17	GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380	False
2	Borowiec2015_Best108	OG79.fasta.aln_gene94	6	55	0.09292929292929293			O70435.3	RecName: Full=Proteasome subunit alpha type-3; AltName: Full=Macropain subunit C8; AltName: Full=Multicatalytic endopeptidase complex subunit C8; AltName: Full=Proteasome component C8; AltName: Full=Proteasome subunit K	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019773; GO:0045202; GO:0004175; GO:0004298; GO:0031625; GO:0010498; GO:0010499; GO:0043161; GO:0052548	False
2	Philippe2009	nsf1-M	2	55	0.09292929292929293			P03974.5	RecName: Full=Transitional endoplasmic reticulum ATPase; Short=TER ATPase; AltName: Full=15S Mg(2+)-ATPase p97 subunit; AltName: Full=Valosin-containing protein; Short=VCP	GO:0005737; GO:0010494; GO:0005829; GO:0005634; GO:0035861; GO:0034098; GO:0005524; GO:0016887; GO:0008289; GO:0031593; GO:0097352; GO:0006914; GO:1903843; GO:0006974; GO:0034605; GO:0006302; GO:0061857; GO:0032510; GO:0071712; GO:0036503; GO:0016236; GO:0051228; GO:0010498; GO:0043161; GO:0018279; GO:0016567; GO:0030970; GO:0035617; GO:0019985; GO:0030433	False
2	Whelan2015_D10	Gene_0891	4	55	0.09292929292929293			O14126.1	RecName: Full=26S proteasome regulatory subunit 6A	GO:0005829; GO:0005634; GO:0008540; GO:0005524; GO:0036402; GO:0045842; GO:0045899; GO:0043161	False
2	Whelan2015_D10	Gene_0542	7	55	0.09292929292929293			A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	GO:0031428; GO:0015030; GO:0001650; GO:0005634; GO:0032040; GO:1990259; GO:0003723; GO:0008649; GO:0001835; GO:0000494; GO:1990258; GO:0031167	False
2	Philippe2009	orf2	4	55	0.09292929292929293			P24495.2	RecName: Full=Proteasome subunit alpha type-2; AltName: Full=Macropain subunit C3; AltName: Full=Multicatalytic endopeptidase complex subunit C3; Short=xC3; AltName: Full=Proteasome component C3	GO:0005737; GO:0005634; GO:0005839; GO:0019773; GO:0004298; GO:0006511	False
2	Chang2015	ornamtrans	2	55	0.09292929292929293	EOG091G06LW	Pyridoxal phosphate-dependent transferase	P04181.1	RecName: Full=Ornithine aminotransferase, mitochondrial; AltName: Full=Ornithine delta-aminotransferase; AltName: Full=Ornithine--oxo-acid aminotransferase; Contains: RecName: Full=Ornithine aminotransferase, hepatic form; Contains: RecName: Full=Ornithine aminotransferase, renal form; Flags: Precursor	GO:0005737; GO:0005759; GO:0005739; GO:0005654; GO:0004587; GO:0030170; GO:0019544; GO:0010121; GO:0008652; GO:0055129; GO:0034214; GO:0007601	False
2	Ryan2013_est	gene76	3	55	0.09292929292929293			P60901.1	RecName: Full=Proteasome subunit alpha type-6; AltName: Full=Macropain iota chain; AltName: Full=Multicatalytic endopeptidase complex iota chain; AltName: Full=Proteasome iota chain	GO:0005737; GO:0030016; GO:0016363; GO:0005634; GO:0000932; GO:0005844; GO:0005839; GO:0019773; GO:0030017; GO:0004175; GO:0003723; GO:0004298; GO:0051092; GO:0010498; GO:0010499; GO:0043161; GO:0051603	False
2	Whelan2017_full	Subset25_02	1	55	0.09292929292929293			P03974.5	RecName: Full=Transitional endoplasmic reticulum ATPase; Short=TER ATPase; AltName: Full=15S Mg(2+)-ATPase p97 subunit; AltName: Full=Valosin-containing protein; Short=VCP	GO:0005737; GO:0010494; GO:0005829; GO:0005634; GO:0035861; GO:0034098; GO:0005524; GO:0016887; GO:0008289; GO:0031593; GO:0097352; GO:0006914; GO:1903843; GO:0006974; GO:0034605; GO:0006302; GO:0061857; GO:0032510; GO:0071712; GO:0036503; GO:0016236; GO:0051228; GO:0010498; GO:0043161; GO:0018279; GO:0016567; GO:0030970; GO:0035617; GO:0019985; GO:0030433	False
2	Whelan2017_full	Subset2_12	6	55	0.09292929292929293			O70435.3	RecName: Full=Proteasome subunit alpha type-3; AltName: Full=Macropain subunit C8; AltName: Full=Multicatalytic endopeptidase complex subunit C8; AltName: Full=Proteasome component C8; AltName: Full=Proteasome subunit K	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019773; GO:0045202; GO:0004175; GO:0004298; GO:0031625; GO:0010498; GO:0010499; GO:0043161; GO:0052548	False
2	Philippe2009	mra1	3	55	0.09292929292929293			O18413.2	RecName: Full=26S proteasome regulatory subunit 8	GO:0005737; GO:0005829; GO:0031597; GO:0031595; GO:0005654; GO:0005634; GO:0098794; GO:0005838; GO:0008540; GO:0005524; GO:0016887; GO:0036402; GO:0017025; GO:0050804; GO:0045899; GO:0043161	False
2	Simion2017	V2META14219-42-Calc_Hmm10-BMGE05	9	55	0.09292929292929293			A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	GO:0031428; GO:0015030; GO:0001650; GO:0005634; GO:0032040; GO:1990259; GO:0003723; GO:0008649; GO:0001835; GO:0000494; GO:1990258; GO:0031167	False
2	Chang2015	psma	1	55	0.09292929292929293			O42265.2	RecName: Full=Proteasome subunit alpha type-1; AltName: Full=Macropain subunit C2; AltName: Full=Multicatalytic endopeptidase complex subunit C2; AltName: Full=Proteasome component C2	GO:0005737; GO:0005634; GO:0005839; GO:0019773; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
2	Borowiec2015_Best108	OG423.fasta.aln_gene50	9	55	0.09292929292929293			A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	GO:0031428; GO:0015030; GO:0001650; GO:0005634; GO:0032040; GO:1990259; GO:0003723; GO:0008649; GO:0001835; GO:0000494; GO:1990258; GO:0031167	False
2	Whelan2017_full	Subset25_01	2	55	0.09292929292929293			O16368.1	RecName: Full=Probable 26S proteasome regulatory subunit 4	GO:0005737; GO:0005634; GO:0008540; GO:0005524; GO:0036402; GO:0017025; GO:0031625; GO:0010629; GO:0030163	False
2	Chang2015	nsf2_01	5	55	0.09292929292929293			P54812.2	RecName: Full=Transitional endoplasmic reticulum ATPase homolog 2; AltName: Full=Cell division cycle-related protein 48.2; AltName: Full=p97/CDC48 homolog 2	GO:0005737; GO:0005829; GO:0005634; GO:0034098; GO:0005524; GO:0016887; GO:0042802; GO:0031593; GO:0097352; GO:0009792; GO:0071712; GO:0016236; GO:0051228; GO:1904780; GO:0034504; GO:0030970; GO:0030433	False
2	Chang2015	nsf1	5	55	0.09292929292929293			O04019.3	RecName: Full=26S proteasome regulatory subunit 6A homolog B; AltName: Full=26S proteasome AAA-ATPase subunit RPT5b; AltName: Full=Proteasome 26S subunit 6A homolog B; AltName: Full=Regulatory particle triple-A ATPase subunit 5b; AltName: Full=Tat-binding protein 1 homolog B; Short=TBP-1 homolog B	GO:0005737; GO:0016020; GO:0005634; GO:0005886; GO:0000502; GO:0008540; GO:0032991; GO:0005524; GO:0036402; GO:0009553; GO:0010255; GO:0009555; GO:0045899; GO:0010498; GO:0006357	False
2	Whelan2015_D1	Gene_0571	3	55	0.09292929292929293			O17071.2	RecName: Full=Probable 26S proteasome regulatory subunit 10B; AltName: Full=26S proteasome AAA-ATPase subunit rpt-4; AltName: Full=Proteasome regulatory particle ATPase-like protein 4	GO:0031597; GO:0005634; GO:0008540; GO:0005524; GO:0042802; GO:0036402; GO:0045899; GO:0043161; GO:0031647; GO:0030433	False
2	Simion2017	V2META10203-2-2-1-42-Calc_Hmm10-BMGE05	5	55	0.09292929292929293			O76371.1	RecName: Full=26S protease regulatory subunit 6A; AltName: Full=Proteasome regulatory particle ATPase-like protein 5	GO:0005737; GO:0005634; GO:0008540; GO:0005524; GO:0036402; GO:0045899; GO:0030163	False
2	Whelan2017_strict	Subset16_01	11	55	0.09292929292929293			A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	GO:0031428; GO:0015030; GO:0001650; GO:0005634; GO:0032040; GO:1990259; GO:0003723; GO:0008649; GO:0001835; GO:0000494; GO:1990258; GO:0031167	False
2	Whelan2017_full	Subset32_03	9	55	0.09292929292929293			A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	GO:0031428; GO:0015030; GO:0001650; GO:0005634; GO:0032040; GO:1990259; GO:0003723; GO:0008649; GO:0001835; GO:0000494; GO:1990258; GO:0031167	False
2	Nosenko2013_nonribo_9187	KOG1373	2	55	0.09292929292929293			P38377.3	RecName: Full=Protein transport protein Sec61 subunit alpha isoform 1; Short=Sec61 alpha-1	GO:0005783; GO:0005789; GO:0030176; GO:0005784; GO:0008320; GO:0005048; GO:0006620; GO:0039019; GO:0045047; GO:0006616	False
